sample,label,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_amplitude,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_amplitude,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,NR5A2.10000.txt_amplitude,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_amplitude,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0769m.hg19.frag,0,-0.857015,-0.619236,-0.804856,-0.52935,-1.845449,-1.310437,-0.463497,-0.133607,-0.982389,0.072721,-1.343647,-0.582013,-0.309384,0.307805,-0.791856,0.727874,-0.356248,-0.106689,-0.674104,-0.8277,0.837056,-0.486697,-0.254013,-1.049112,0.65619,0.232238,-0.457563,-1.110201,-0.809914,0.460751,-1.864724,-0.704492,-0.686715,-1.137456,-1.480283,-0.523026,-0.984903,-0.918284,-0.522096,0.387801,0.78391,-0.024385,0.010618,-1.31731,-0.112488,0.065172,0.021439
filtered_MAL0779.hg19.frag,1,0.442445,0.35379,1.57447,1.208507,0.850999,1.296219,0.886313,0.424118,0.605161,1.035409,0.049022,0.606024,0.637889,-0.076805,0.636746,-0.903021,-0.409157,0.104236,0.148325,0.046489,-0.157908,0.653725,0.760381,1.119586,0.96362,0.575161,0.596431,1.324289,0.766753,-0.398722,0.789931,0.380932,1.616831,0.564159,0.408373,0.415107,0.011149,0.353314,1.102505,0.843936,-0.828108,-0.217762,1.184528,1.005973,0.678841,1.486466,0.309285
filtered_MAL0779m.hg19.frag,0,-0.785683,-0.8622,-0.51169,-0.351731,-0.228749,-0.574911,-0.593075,-0.094392,0.046953,0.31891,-0.881469,-0.530704,-0.846465,-1.007255,-0.408873,0.881052,-0.101755,-0.816477,-0.511166,-0.167438,0.97194,-0.650184,-0.5813,-0.102157,-0.645396,-0.551649,-0.517083,-0.53861,-0.80053,0.085539,-0.256056,-0.561231,-0.433286,-0.239546,-0.052249,-0.423179,-0.200039,-0.557078,-0.533895,0.1107,0.462675,-0.974661,0.248677,-1.621837,-0.35622,-1.837399,0.736524
filtered_MAL0801.hg19.frag,1,1.406364,0.661154,0.422998,1.297316,0.61211,0.856134,1.120127,0.793756,0.498791,0.787669,0.032812,0.61979,1.257966,1.831586,0.849563,-1.111466,0.002476,0.965106,0.666996,-0.968836,-1.098009,1.036922,0.474991,0.678384,-0.441054,1.747255,0.739175,1.133474,0.890698,-1.909483,0.394966,1.118563,1.211048,0.094497,0.718414,0.45462,0.574919,1.197625,0.636907,0.771015,-0.484041,0.239888,1.174609,0.920009,1.750366,0.611306,1.193733
filtered_MAL0801m.hg19.frag,0,-0.0489,-1.141462,-0.075473,-0.507381,-0.503069,0.199854,-0.098192,-0.127798,0.383008,-1.037959,-0.287427,0.032863,-0.234368,-0.544082,-0.848578,1.315347,-0.404395,-0.384816,-0.323899,1.198375,0.971652,-0.347534,-0.55419,-0.50901,-0.754587,-0.846211,-0.03881,-0.614595,-1.163899,0.719404,-0.663824,-0.271404,-0.57282,-0.187665,-0.694349,-0.133837,-0.130694,-0.555795,-0.046061,0.180603,0.558249,0.311547,-0.688898,-0.753766,0.294372,-0.797332,-0.58492
filtered_MAL0809.hg19.frag,1,-0.111785,1.023551,0.489667,-0.30312,0.88497,-0.801877,0.43542,1.994899,0.712943,0.975405,-0.210762,1.035686,0.420423,0.708244,1.451519,-0.514295,0.752728,1.050457,1.183087,-1.028638,-0.461115,0.997446,0.226568,0.753596,1.315327,0.013295,1.255374,0.737758,-0.602436,-0.720161,1.000537,-0.206531,0.488231,0.713431,0.927949,0.285944,0.42497,0.60032,0.867891,-0.08141,-1.305979,-0.880456,-0.095905,0.276681,-0.054913,0.342787,0.409996
filtered_MAL0809m.hg19.frag,0,-0.357692,-1.554207,-1.19339,-0.322284,-0.215599,-0.634922,-1.340898,1.381982,-0.801183,0.32408,-0.835032,-1.03879,-0.088726,0.161817,-1.370068,0.498836,-0.862588,-0.557971,-0.430435,-0.987099,0.629541,0.5022,-0.952949,-0.585406,-0.897295,-0.433384,-0.72409,-0.775101,0.751239,0.932094,-1.417267,-1.14599,-1.458837,-0.131232,-0.127539,0.154656,-0.661591,-0.820764,-0.989055,-0.397235,0.376392,-0.293625,0.378058,-0.220563,-0.745807,-1.34228,0.067787
filtered_MAL0842.hg19.frag,1,0.484681,0.432241,-0.545687,-0.024072,-0.443529,0.391429,0.776339,0.034146,0.708236,-0.608816,0.831001,1.438234,-0.448243,-0.234518,0.423489,-0.942478,0.318344,0.1268,0.073123,0.178995,-0.512153,0.57876,1.316376,0.853681,-0.243556,0.497344,0.766565,-0.039162,-0.028587,-1.077047,1.779586,0.644328,1.244082,1.367408,-0.814388,0.120666,0.625352,1.85652,1.258158,0.966142,-0.765454,-0.575113,0.138273,-0.035712,0.713386,0.911463,1.269005
filtered_MAL0842m.hg19.frag,0,-0.999679,-0.418425,-0.557607,-0.757917,-0.012872,0.475292,-0.049421,-0.413922,-0.884491,0.419047,-0.654103,-0.252049,0.368551,-0.597435,0.103823,0.558753,-1.046712,0.98718,0.641929,0.909259,2.08094,0.766969,-0.013969,-1.496236,-0.217484,-0.596932,-0.552901,-1.225885,-0.829765,0.172658,1.027423,0.480944,-0.546195,-0.124861,-0.648891,0.093473,0.587077,-0.285693,-0.409554,0.441611,0.139315,0.887928,0.520376,0.127789,0.543221,-0.405824,-0.414861
filtered_MAL0851.hg19.frag,1,0.043081,1.005987,0.098043,0.773342,-1.063033,0.476061,0.620941,0.284687,0.702588,0.188109,0.292596,0.081669,0.232884,0.728179,-0.086569,-0.281405,0.039513,-0.477525,0.653725,-0.870024,-0.248051,1.418126,-0.127336,0.035829,0.65866,0.471405,0.694403,0.496998,-0.131804,-0.980616,-0.283582,0.167691,0.109073,0.493618,-0.593488,1.115307,0.967126,-1.095999,0.514381,0.948037,-0.973593,-0.279488,0.855471,-0.063805,0.474132,-0.074031,-1.233097
filtered_MAL0851m.hg19.frag,0,-1.116532,-0.311286,-1.992091,-1.41417,0.405366,-0.838038,-0.540479,-0.77412,-0.824716,-0.411192,-0.544144,-0.059744,-1.211568,-0.922242,0.265635,1.217567,-0.802272,-0.925864,-0.578258,0.698514,1.595118,-1.003077,-0.170712,-1.412141,-0.203514,-0.713878,-0.46283,-0.108316,0.104408,0.963036,-0.700312,-0.793993,-0.685729,-0.519887,0.876098,-1.355789,0.076892,-0.383853,-0.779854,-0.639133,0.782317,-0.564967,-0.439194,-0.232362,0.36666,-0.507853,-0.981145
filtered_MAL0866.hg19.frag,1,1.199408,0.68106,-0.181878,-0.409224,0.901407,0.34065,1.965014,0.43138,1.472124,-0.275447,1.617362,-0.457286,-0.049223,0.070942,-0.334563,-0.680759,-0.247255,1.285909,1.618816,-0.435195,-1.469536,0.88141,0.481891,-0.143613,-0.351266,0.634953,1.665172,1.601334,-0.381487,-1.442947,0.487786,0.291431,1.079402,1.626359,-0.003239,0.932184,1.029717,2.071447,-0.496683,0.332984,-0.370414,1.396397,-0.824316,1.009344,-0.01781,0.623961,1.291308
filtered_MAL0866m.hg19.frag,0,-0.270873,-1.581724,0.649054,0.754177,1.369687,-0.169448,-0.809198,-0.172096,-0.510313,-0.073849,-1.026913,-0.80477,-0.57154,-0.619128,-0.094484,1.107831,0.637915,-0.066957,-0.222524,1.04377,1.43565,-1.966852,-0.426036,-0.501904,-0.412971,-0.433384,-1.181821,0.168728,-0.58321,1.209672,-0.284862,-0.224551,-0.409126,-0.606811,1.983437,-0.64794,-0.349087,-0.868241,-0.967726,-0.925286,0.975059,0.480123,-0.972672,-0.084031,-0.728534,-0.544631,-0.508603
filtered_MAL0883.hg19.frag,1,0.728242,-0.460577,-0.09225,-0.289565,0.090135,-0.047117,-0.569646,0.045039,0.371241,1.020965,-0.543268,-0.624145,0.262012,0.756321,0.244529,-0.241549,-0.28535,0.353913,0.355498,-0.170663,-0.255757,-0.078777,0.47992,-0.623308,-0.103706,-0.232027,0.416815,0.11238,0.674921,0.135707,1.010779,0.800805,-0.107377,-0.543552,0.152314,0.375593,0.199823,0.395017,0.321517,-0.560176,-0.43997,-0.978348,0.646737,-1.285846,-0.463052,1.04157,-0.032925
filtered_MAL0883m.hg19.frag,0,2.986459,1.641791,-0.476369,0.772874,2.889224,0.097526,3.23067,2.294096,0.512911,0.877595,0.539238,1.933388,1.413983,1.237669,1.734689,0.950136,-1.747229,2.487202,2.691917,-0.274663,-2.836975,2.298564,2.281479,-0.795643,-0.038191,3.067508,1.389164,2.021382,-0.457764,0.265785,0.524914,5.194759,2.502848,2.134705,0.567478,4.468877,2.855663,2.383893,2.882304,2.637297,3.186539,-1.854619,0.525982,1.128458,-0.271777,1.135295,1.150172
filtered_MAL0887.hg19.frag,1,-0.3652,-0.323581,0.683934,0.465314,0.092326,-0.150214,-0.467322,-0.625974,-0.331931,-0.439563,0.041136,0.373673,-0.073563,-0.728179,0.281904,-0.429402,1.006163,-0.738484,-1.138954,0.257758,0.98738,-1.016634,0.487313,0.75478,-0.37187,-0.384584,0.598537,-0.520681,-0.57904,-1.006451,1.213703,-1.102441,-0.528938,0.124078,-0.121857,-1.38638,-0.549918,-0.712339,-0.51302,-0.085434,-1.259785,-0.001017,-0.2641,0.024407,1.100414,0.711359,0.313118
filtered_MAL0887m.hg19.frag,0,-0.043268,0.045256,-1.666694,-1.381919,-2.035756,-0.294087,-0.948339,-0.060987,-0.60774,-0.417202,-0.571743,-0.376359,0.123153,-0.654305,0.077001,0.52182,-0.744601,-0.981784,-1.032418,0.705183,0.461303,-0.015775,-0.800642,-0.702073,-0.48092,-0.387661,-0.733044,-0.724302,-0.624539,0.180468,0.024325,-0.810512,-0.698055,-0.405657,-1.354562,-0.590157,-0.867827,-1.05943,-0.982702,-0.535534,-0.270061,0.340735,-0.295582,-0.971767,-1.183372,-0.403056,-0.16953
filtered_MAL0889.hg19.frag,1,0.553667,1.776446,2.145791,2.539711,1.018294,1.180812,-0.632283,1.548283,1.03676,0.214379,1.26339,1.013994,1.551644,1.933015,1.347309,-1.015148,1.545836,2.214961,1.472098,-0.370555,0.151281,0.103451,1.347429,1.71891,-0.357511,-0.039023,0.741282,2.147312,-0.795776,-1.165068,1.06007,0.207636,0.617411,0.844044,1.65848,0.898619,0.099857,1.216872,1.809523,1.80348,-1.87438,-1.09455,0.572559,1.693125,0.440227,1.487257,1.705304
filtered_MAL0889m.hg19.frag,0,-0.796007,-1.376815,0.440217,-0.243291,0.272041,-0.829575,-0.338222,-0.098023,-0.573382,-0.989814,-1.390084,-2.397023,0.756797,-0.36878,-0.08481,-0.013973,0.400353,-1.111773,-1.568416,-0.554581,-1.528136,-0.800911,0.767775,-1.337522,-1.79369,-0.323913,-0.834177,-0.039162,0.272392,0.223727,-0.339914,-0.952572,-1.25915,-1.049167,-0.533824,0.164428,-0.609357,-1.240353,-0.287482,-0.678359,0.300199,1.689645,-1.998657,1.180711,-1.985576,-0.50904,-1.591685
filtered_MAL1002.hg19.frag,1,-0.381626,-0.524977,0.821687,0.344253,0.4839,-0.697242,-1.196497,-0.710214,-0.178965,-0.599316,-0.714121,-0.72134,-0.216412,-0.649029,0.09327,-0.028321,0.241625,0.179777,-0.435964,0.189064,-0.558504,-1.025406,-0.246619,-0.237775,-0.16848,-0.010006,-0.774656,0.00438,0.66045,-0.772732,0.524274,-1.215068,-0.950499,-0.990004,0.645609,-0.642842,-0.195536,-0.849635,-0.712238,-1.038943,-0.655809,-0.292437,0.478974,-0.050882,-0.384367,0.942704,-0.009228
filtered_MAL1002m.hg19.frag,0,-1.319264,-0.123941,-0.511248,-0.770537,-0.733191,-0.252541,-0.411379,-2.084194,-0.356406,-0.351414,-0.322912,-0.593693,-0.708005,-1.057676,-0.615534,1.904679,-1.143007,-0.513333,-1.0103,0.737786,0.611972,-1.236743,-0.328441,-0.712733,-1.097686,-0.826427,-0.445448,-1.007323,-0.194069,2.097083,-1.373738,-1.28745,-0.74884,-0.134418,-0.61018,-1.402101,-0.967342,-1.154382,-2.477062,-0.485746,1.057093,0.3528,-0.449545,-1.816801,-1.014487,-0.470284,-1.084992
filtered_MAL1149.hg19.frag,1,-0.070018,0.641834,-0.085628,-0.163362,-0.18382,-0.8365,-0.326269,-0.75887,0.116612,-0.069745,-0.70054,-0.609128,-0.19287,-1.333235,-0.357427,0.334498,-0.038793,-0.465262,-1.226321,-0.521498,0.332918,-0.622271,-0.114028,-0.581261,0.01367,-0.589898,-0.962173,-0.612887,-0.983987,0.611556,-0.36744,-0.002901,-0.622618,0.103599,-0.32642,-0.277446,-0.470666,-0.430688,-0.678656,-0.958981,0.172501,-0.522922,0.007599,-0.100887,-1.002333,0.380356,1.4997
filtered_MAL1149m.hg19.frag,0,0.123329,-0.628603,-0.101522,-0.005843,-1.629572,-0.442578,-0.394166,-0.302087,-0.100364,-0.791188,0.384156,-0.144425,-0.014508,0.33712,-0.858252,-0.118395,-0.681639,-0.905753,-0.751517,-0.857776,0.892781,0.11023,-1.091454,-0.580669,-0.346327,0.194429,-0.306917,-0.428902,-1.18154,-0.590984,0.217007,-0.252483,-0.000878,-0.182203,-1.357403,-0.363272,-0.479222,0.250021,-0.276137,0.432559,-0.177672,0.402584,-0.430138,-0.42227,-0.575002,-0.285208,-0.612102
filtered_MAL1164.hg19.frag,1,0.233612,0.780002,-0.109469,-0.081564,0.047763,1.40624,0.647718,-0.05082,0.269578,0.750865,0.616778,0.309432,1.123097,1.985781,1.004339,-1.027769,1.196635,-0.843456,-0.057375,0.741622,-0.10733,0.342302,0.383311,0.747674,-0.170738,0.022088,0.662799,0.544808,-0.721876,-0.618322,1.157371,0.089603,0.749057,0.743923,0.328111,-0.114292,-1.002014,-0.589798,0.298373,0.772523,-1.118547,-0.023989,0.862371,-0.044701,0.867557,0.788869,-0.831297
filtered_MAL1164m.hg19.frag,0,-1.049893,-1.902553,-1.40046,-1.639465,-0.687897,-0.242539,-1.376281,0.010908,-1.038398,-1.665017,-0.71894,-1.493481,-0.260704,0.102602,-1.050403,0.573632,0.585006,-1.603278,-1.746099,1.07402,-0.449901,0.214702,-1.772153,-1.599874,0.518139,-0.89765,-1.833916,-1.251071,-0.007609,1.615526,-0.497388,-0.66665,-1.794113,-1.767767,-1.419199,-0.973398,-0.487778,-1.378933,-1.195533,-1.375889,0.532762,-0.024934,0.963288,-1.077958,-1.645247,-0.652988,-0.084151
filtered_MAL1261.hg19.frag,1,0.537711,0.346765,1.789488,1.96432,1.097559,1.890949,0.958514,0.424844,0.518559,-0.194957,1.354512,1.299324,0.452744,1.360205,0.638505,-1.063905,0.3903,1.613088,1.155071,-0.340436,-1.193846,1.144983,1.118722,-0.527369,0.283809,0.257737,1.19954,1.2244,0.940827,-1.466979,1.33917,1.168419,0.744126,1.318257,0.607254,1.504496,0.777551,0.199978,1.490503,1.083822,-0.726428,-0.753316,0.100321,0.072165,-0.037001,0.489108,1.207323
filtered_MAL1261m.hg19.frag,0,1.403549,2.370683,-1.075947,-1.776886,0.955102,-1.282739,1.297042,-0.510508,-0.747057,1.788809,-1.059331,0.060812,0.258421,-0.519457,-0.440971,0.396939,2.151116,-0.327915,2.009939,3.477475,-0.84975,0.96116,-2.06198,0.927708,-0.100214,2.880659,-2.215271,0.412049,2.004366,2.780215,-2.371714,1.291258,0.272274,-1.491978,1.069652,-0.206066,-0.756604,1.960455,0.99087,0.667416,1.425054,-0.38978,-1.406958,-0.793096,1.024928,-1.674469,-1.464141
